segment_id,impact_type,flow_diff,flow_pct,speed_diff,speed_pct,sample_count,clean_name
M60 clockwise within J12 before M602 J1 access mainCarriageway 115023301,pre_match_city,866.0,33.907595927956145,-35.89875,-37.782192285428614,66,M60 CW
M60 clockwise within J11 mainCarriageway 115022801,pre_match_city,821.0,30.29520295202952,-32.084999999999994,-32.901786858768936,66,M60 CW
M60 clockwise between J11 and J12 mainCarriageway 115023501,pre_match_city,854.0,25.405325003718577,-31.010000000000005,-33.627023070458435,66,M60 CW
M60 clockwise within J12 after M602 J1 access mainCarriageway 115024402,pre_match_city,1092.0,31.864604610446456,-30.80375,-34.64988751406074,66,M60 CW
link road from M602 J1 westbound to M60 J12 clockwise entrySlipRoad 115023302,pre_match_city,154.0,22.61380323054332,-29.683750000000003,-44.49170007869,66,M60 CW
M60 clockwise between J10 and J11 mainCarriageway 115022401,pre_match_city,879.5,29.079186642420236,-19.903750000000002,-21.08336422858959,66,M60 CW
M60 clockwise between J12 and J13 mainCarriageway 115016101,pre_match_city,1677.5,34.80290456431535,-16.18625,-18.72270900205315,66,M60 CW
M60 J17 clockwise exit exitSlipRoad 115009901,pre_match_city,263.5,39.153046062407135,-15.1725,-27.849030629803828,66,M60 CW
M60 J23 anti-clockwise exit for A6140 exitSlipRoad 115028801,pre_match_city,666.5,85.66838046272494,-14.201250000000002,-19.884832148983094,66,M60 CW
M60 clockwise within J10 mainCarriageway 115021501,pre_match_city,721.0,35.6401384083045,-13.724999999999994,-13.649925410243654,66,M60 CW
M60 anti-clockwise between J14 and J13 mainCarriageway 115013801,pre_match_city,952.0,23.634558093346573,-13.59750000000001,-15.173241086871627,66,M60 CW
M60 J10 anti-clockwise exit exitSlipRoad 115023701,pre_match_city,479.5,61.672025723472665,-12.638750000000002,-21.78437540397294,66,M60 CW
M60 J10 clockwise exit exitSlipRoad 115013401,pre_match_city,316.5,86.83127572016461,-9.501249999999995,-24.572463065334745,35,M60 CW
connector at M60 J8 clockwise roundabout 200045969,pre_match_city,0.0,,-9.034999999999997,-8.96307135239701,66,M60 CW
M60 J25 clockwise exit exitSlipRoad 115013101,pre_match_city,153.0,45.26627218934911,-8.967500000000001,-13.69763623171803,61,M60 CW
M60 J24 clockwise exit exitSlipRoad 115028501,pre_match_city,316.5,39.243645381277126,-8.340000000000003,-11.204782856950933,66,M60 CW
M60 anti-clockwise within J13 mainCarriageway 115015601,pre_match_city,929.5,24.142857142857142,-8.157499999999999,-9.134043416798464,66,M60 CW
M60 anti-clockwise between J11 and J10 mainCarriageway 115023401,pre_match_city,1061.5,33.53870458135861,-7.858749999999986,-8.47533027770287,66,M60 CW
M60 clockwise within J13 mainCarriageway 115015801,pre_match_city,1429.0,36.77776347960366,-7.775000000000006,-8.44191096634094,66,M60 CW
M60 J13 clockwise exit exitSlipRoad 115009101,pre_match_city,269.0,27.875647668393782,-7.569999999999993,-11.583336521173626,64,M60 CW
